first_name,last_name,director_id
Mamoru,Oshii,d14832
Tom,Holland,d8245
Rick,Friedberg,d6055
Udayan,Prasad,d15840
Nick,Park,d15075
Abraham,Polonsky,d15708
David,Twohy,d20233
Robert Z.,Leonard,d11288
Stanley,Kubrick,d10522
Guy,Maddin,d12060
John,O'Brien,d14525
Kevin James,Dobson,d4717
Victor,Saville,d17506
Helena,Solberg,d18732
Ebrahim,Forouzesh,d5873
Freida Lee,Mock,d13454
David,Keating,d9716
James,Mangold,d12261
Francis Ford,Coppola,d3801
Mary,Harron,d7682
Charles,Matthau,d12645
Goran,Paskaljevic,d15142
Benoît,Lamy,d10790
 Mweze,Ngangura,d14262
Jean-Pierre,Bekolo,d1400
Djibril Diop,Mambéty,d12225
Gaston,Kaboré,d9404
Federico,Fellini,d5553
 Louis,Malle,d12192
 Roger,Vadim,d20331
Victoria,Foyt,d5928
 Henry,Jaglom,d8919
Robby,Henson,d7960
Scott,Winant,d21324
Bobby,Farrelly,d5480
 Peter,Farrelly,d5479
Richard,Gordon,d6876
 Carma,Hinton,d8129
Lucian,Pintilie,d15584
Gyula,Gazdag,d6392
Gérard,Mordillat,d13639
Mel,Chionglo,d3291
Alexandre,Rockwell,d16727
Christopher,Larkin,d10884
Laurent,Heynemann,d8052
Bronwen,Hughes,d8496
Nicole,Holofcener,d8264
Éric,Rohmer,d16796
Fraser C.,Heston,d8033
Kevin,Hooks,d8303
Ildikó,Enyedi,d5265
Howard,Franklin,d5982
Mitch,Marcus,d12351
Jaime,Hellman,d7900
Nicolas,Roeg,d16768
Arlene,Sanford,d17366
Maurizio,Nichetti,d14280
Paul,Turner,d20213
Peter,Sehr,d17873
Rolf,Silber,d18342
Peter,Weck,d20967
Manoel de,Oliveira,d14701
John,Payson,d15241
Hugh,Wilson,d21308
Nigel,Finch,d5669
Hart,Bochner,d1911
Doug,Ellin,d5182
Annette,Haywood-Carter,d7808
Danny,DeVito,d4404
Douglas,McGrath,d12858
Tim,Pope,d15742
Harry,Winer,d21328
Georges,Franju,d5962
Gilbert,Adler,d98
John,Rubino,d17040
Li,Yin,d21705
Ho,Yim,d21701
Marcus,DeLeon,d4387
Lee David,Zlotoff,d21989
Anh Hung,Tran,d20030
Julian,Schnabel,d17662
Rolf de,Heer,d7843
Keisuke,Kinoshita,d10070
Nicole,Garcia,d6305
Leone,Pompucci,d15720
Junli,Zheng,d21946
Lisa,Krueger,d10495
Mikio,Naruse,d14088
Lana,Wachowski,d20705
 Lilly,Wachowski,d20704
Arthur,Hiller,d8112
John,Ruane,d17028
Peter,Shaner,d18026
Ming-liang,Tsai,d20125
Daniel,Schmid,d17642
Tim,Metcalfe,d13141
Izidore K.,Musallam,d13939
Jim,McKay,d12880
Karim,Dridi,d4897
John,Frankenheimer,d5977
 Richard,Stanley,d18948
David Mickey,Evans,d5362
David,Koepp,d10245
Gary,Winick,d21336
Nick,Hamm,d7520
Roy Allen,Smith,d18654
Theo van,Gogh,d6731
Rafael,Moleón,d13487
Joe,Chappelle,d3157
Trevor,Nunn,d14486
Keith,Gordon,d6872
Max,Ophüls,d14762
Jan Jakub,Kolski,d10280
Sam,Wood,d21488
George,Cukor,d4074
Stanley,Donen,d4764
 Gene,Kelly,d9763
Vincente,Minnelli,d13357
Blake,Edwards,d5115
Alfred,Hitchcock,d8156
Frank,Capra,d2834
Mark,Sandrich,d17361
Billy,Wilder,d21234
Michael,Curtiz,d4134
John,Huston,d8596
William,Wyler,d21578
Walter,Lang,d10840
 William A.,Seiter,d17887
Victor,Fleming,d5771
 George,Cukor,d4073
 Mervyn,LeRoy,d11023
 Norman,Taurog,d19621
 Richard,Thorpe,d19835
 King,Vidor,d20519
 Sam,Wood,d21479
Orson,Welles,d21050
Mitchell,Leisen,d11225
Joseph L.,Mankiewicz,d12272
Leo,McCarey,d12754
Ernst,Lubitsch,d11815
 William,Keighley,d9738
Rouben,Mamoulian,d12231
Otto,Preminger,d15855
Gregory La,Cava,d3025
George,Stevens,d19087
Elia,Kazan,d9705
W.S. Van,Dyke,d5046
Howard,Hawks,d7783
Michael,Anderson,d428
 John,Farrow,d5484
Victor,Sjöström,d18507
William A.,Wellman,d21055
John,Cromwell,d4009
Archie,Mayo,d12706
Busby,Berkeley,d1556
Henry,Koster,d10374
James Edward,Grant,d6995
Lewis,Milestone,d13239
Howard,Hughes,d8499
 Howard,Hawks,d7782
George A.,Romero,d16827
Richard,Brooks,d2357
Victor,Schertzinger,d17598
Frank,Borzage,d2071
Edwin L.,Marin,d12381
Thaddeus,O'Sullivan,d14582
Corey,Yuen,d21795
Joshua,Logan,d11676
Chris,Newby,d14231
Richard,Schenkman,d17593
Allan,Miller,d13267
Carroll,Ballard,d1020
Lance,Young,d21765
Ringo,Lam,d10756
Amy Holden,Jones,d9203
Matthew,Broderick,d2321
Campbell,Scott,d17805
 Stanley,Tucci,d20155
Robert M.,Young,d21770
John,Herzfeld,d8015
Reb,Braddock,d2166
René,Gainville,d6218
John,Walsh,d20805
John,Gray,d7030
Robert,Lieberman,d11495
Norman,Tokar,d19937
Norman,Foster,d5902
John,Hough,d8378
Robert,Stevenson,d19096
David,Swift,d19403
Duwayne,Dunham,d4967
Charles,Barton,d1223
Ken,Annakin,d499
Richard,Fleischer,d5761
William,Dear,d4412
Clyde,Geronimi,d6469
 Clyde,Geronimi,d6468
 Harold,Young,d21749
Harold D.,Schuster,d17749
Samuel,Armstrong,d623
 Norman,Ferguson,d5568
 John,Elliotte,d5197
Don,Chaffey,d3076
Ted,Berman,d1579
 Richard,Rich,d16490
 Art,Stevens,d19077
Matthew,Bright,d2293
Robert,Wise,d21386
Nick,Cassavetes,d2983
Iara,Lee,d11116
Tom,Hanks,d7565
Michael,Pressman,d15861
Joseph,Bologna,d1966
 Renée,Taylor,d19642
Hettie,Macdonald,d12018
Al,Pacino,d14899
Steve,Buscemi,d2586
Ismail,Merchant,d13096
John,McNaughton,d12930
Leon,Ichaso,d8662
Baz,Luhrmann,d11838
Doug,Liman,d11527
Michael,Cimino,d3428
Scott,Silver,d18362
Tad,Stones,d19164
Anthony,Asquith,d716
Edward,Dmytryk,d4711
Josef von,Sternberg,d19069
 Nicholas,Ray,d16252
Aaron Kim,Johnston,d9182
Mel,Stuart,d19227
Jan,Bucquoy,d2483
Jack,Clayton,d3499
Charles,Crichton,d3990
 John,Cleese,d3502
Terry,Jones,d9237
Arthur,Penn,d15312
John,Sturges,d19232
 Fred,Zinnemann,d21980
Frédéric,Mitterrand,d13422
Emile,Ardolino,d587
Ted,Kotcheff,d10377
Alan J.,Pakula,d14931
Sam Henry,Kass,d9603
Michael,Covert,d3918
Nicholas,Ray,d16261
Greg,Spence,d18848
Hugo Van,Lawick,d10988
Michael,Kreihsl,d10451
Temístocles,López,d11950
Claude,Nuridsany,d14488
 Marie,Pérennou,d16003
Alan,Taylor,d19644
Chris,Cullari,d4079
Benoît,Jacquot,d8903
Jaco Van,Dormael,d4817
Nils,Gaup,d6373
Peter,Cohn,d3615
Milos,Forman,d5871
Rich,Wilkes,d21244
R.J.,Cutler,d4140
 David Van,Taylor,d19638
Mark,Rydell,d17140
Ate de,Jong,d9241
Joe,Dante,d4262
Gustavo Graef,Marino,d12387
Howard,Zieff,d21955
 Terry,Jones,d9201
Rick,Castro,d3009
 Bruce La,Bruce,d2424
Russ,Hexter,d8047
Sharon,Pollack,d15690
Michael Ray,Rhodes,d16470
Raoul,Ruiz,d17069
Susan Warms,Dryfoos,d4913
Kurt,Miller,d13289
 Peter,Speek,d18843
John,L'Ecuyer,d10682
Leon,Gast,d6361
Daniel,Vigne,d20537
Jan,Svankmajer,d19365
Alfred L.,Werker,d21082
 Anthony,Mann,d12276
Anthony,Mann,d12280
Vittorio De,Sica,d18290
Jean,Delannoy,d4455
Norman Z.,McLeod,d12909
Elliott,Nugent,d14478
Volker,Schlöndorff,d17641
Martine,Dugowson,d4947
Nina,Menkes,d13073
Eric,Red,d16291
Barbara,Kopple,d10333
 Cathy,Caplan(co-director),d2827
 Thomas,Haneke(co-director),d7558
 Lawrence,Silk(co-director),d18348
Phillip,Rhee,d16465
Peter,Greenaway,d7075
Michel,Blanc,d1846
Peter,Chelsom,d3204
Fred Olen,Ray,d16259
Gabriele,Salvatores,d17301
Errol,Morris,d13714
Jennie,Livingston,d11635
Lou,Adler,d99
 Tommy,Chong,d3324
Irvin,Kershner,d9847
Sergio,Leone,d11300
Bruce,Robinson,d16688
David,Lean,d11042
Robert,Mulligan,d13840
 Francis Ford,Coppola,d3797
Richard,Marquand,d12423
Wim,Wenders,d21074
Carol,Reed,d16308
Akira,Kurosawa,d10609
John,Ford,d5858
Andrei,Tarkovsky,d19588
George Roy,Hill,d8095
Hal,Ashby,d691
Ingmar,Bergman,d1542
Tom,Stoppard,d19168
Savage Steve,Holland,d8243
Fritz,Lang,d10830
Jean-Jacques,Beineix,d1394
Allan,Moyle,d13801
Franklin J.,Schaffner,d17562
Katsuhiro,Ôtomo,d22077
Stuart,Rosenberg,d16890
Charles,Chaplin,d3146
James,Algar,d252
 Samuel,Armstrong,d615
 Ford Beebe,Jr.,d9296
 Jim,Handley,d7553
 Paul,Satterfield,d17463
Fred,Zinnemann,d21981
Jeannot,Szwarc,d19433
Godfrey,Reggio,d16340
Fred M.,Wilcox,d21224
Phil Alden,Robinson,d16698
Keoni,Waxman,d20926
John G.,Young,d21763
Doug,Pray,d15846
John,Murlowski,d13901
Susan,Streitfeld,d19204
Larry,Bishop,d1782
Jon,Sherman,d18163
Greta,Schiller,d17613
Herb,Gardner,d6319
Carl,Prechezer,d15847
Daniel,Geller,d6417
 Dayna,Goldfine,d6768
Tony,Randel,d16173
Steve,White,d21172
Damiano,Damiani,d4232
Tom,Berry,d1618
Paul,Morrissey,d13730
Fred,Walton,d20817
Irvin S. Yeaworth,Jr.,d9320
 Russell S. Doughten,Jr.,d9299
Jeffrey,Bloom,d1882
James,Whale,d21123
Dan,Curtis,d4125
J. Lee,Thompson,d19812
Paul,Schrader,d17702
F.W.,Murnau,d13902
Augusto,Caminito,d2759
 Mario,Caiano,d2699
 Klaus,Kinski,d10073
 Maurizio,Lucidi,d11828
 Pasquale,Squitieri,d18909
 Luigi,Cozzi(co-director),d3948
Bob,Rafelson,d16097
Kevin,Spacey,d18823
Barbra,Streisand,d19203
Lars von,Trier,d20076
Ole,Bornedal,d2056
Jonathan,Frakes,d5938
Scott,Hicks,d8069
Billy Bob,Thornton,d19831
Michelangelo,Antonioni,d524
Joe,Berlinger,d1571
 Bruce,Sinofsky,d18461
Hans Petter,Moland,d13484
