,awards,imdb_id
283,1 nomination.,tt0110671
284,Nominated for 1 Golden Globe. Another 5 wins & 8 nominations.,tt0110632
285,N/A,tt0110737
286,22 wins & 6 nominations.,tt0110729
287,N/A,tt0114151
288,5 wins & 4 nominations.,tt0114069
289,5 wins & 11 nominations.,tt0110413
290,N/A,tt0114113
291,N/A,tt0114210
292,Won 1 Oscar. Another 62 wins & 69 nominations.,tt0110912
293,2 wins & 2 nominations.,tt0114084
294,5 wins & 7 nominations.,tt0105652
295,4 wins & 3 nominations.,tt0110889
296,Nominated for 4 Oscars. Another 6 wins & 28 nominations.,tt0110932
297,2 wins & 5 nominations.,tt0114129
298,Nominated for 1 Oscar. Another 9 wins & 12 nominations.,tt0110963
299,1 nomination.,tt0114214
300,Nominated for 1 Oscar. Another 1 nomination.,tt0114296
301,Nominated for 2 Golden Globes. Another 3 wins & 1 nomination.,tt0110907
302,Nominated for 3 Oscars. Another 17 wins & 21 nominations.,tt0111495
303,Nominated for 3 Golden Globes. Another 20 wins & 14 nominations.,tt0108394
304,1 win & 4 nominations.,tt0111507
305,8 wins & 5 nominations.,tt0110769
306,1 win.,tt0114268
307,N/A,tt0110965
308,2 nominations.,tt0114571
309,Nominated for 1 Golden Globe. Another 1 win & 7 nominations.,tt0111333
310,1 win & 9 nominations.,tt0111112
311,4 wins & 7 nominations.,tt0111255
312,6 wins & 6 nominations.,tt0111282
313,2 wins & 8 nominations.,tt0111070
314,Nominated for 7 Oscars. Another 19 wins & 32 nominations.,tt0111161
315,14 wins & 1 nomination.,tt0111149
316,2 wins & 6 nominations.,tt0108260
317,Nominated for 1 Oscar. Another 25 wins & 1 nomination.,tt0106966
318,4 wins & 4 nominations.,tt0114594
319,6 wins & 5 nominations.,tt0111309
320,N/A,tt0113936
