awards,imdb_id
Nominated for 1 Golden Globe. Another 4 wins & 4 nominations.,tt0114924
1 win & 3 nominations.,tt0111667
6 wins & 6 nominations.,tt0109655
Nominated for 1 Golden Globe. Another 8 wins & 10 nominations.,tt0110598
2 wins & 1 nomination.,tt0112435
5 wins & 5 nominations.,tt0109040
Won 1 Oscar. Another 9 wins & 18 nominations.,tt0109045
Nominated for 1 BAFTA Film Award. Another 5 wins & 3 nominations.,tt0106339
1 win & 1 nomination.,tt0104779
Won 1 Oscar. Another 20 wins & 23 nominations.,tt0109348
Nominated for 2 Oscars. Another 3 wins & 7 nominations.,tt0109444
Nominated for 1 Oscar. Another 3 wins & 3 nominations.,tt0109446
3 nominations.,tt0109484
3 nominations.,tt0109504
3 wins & 6 nominations.,tt0109506
1 nomination.,tt0109450
6 wins & 10 nominations.,tt0109813
Won 6 Oscars. Another 40 wins & 67 nominations.,tt0109830
Nominated for 2 Oscars. Another 24 wins & 23 nominations.,tt0109831
1 win & 1 nomination.,tt0113305
1 win & 5 nominations.,tt0110091
N/A,tt0110093
N/A,tt0110167
2 nominations.,tt0110213
2 wins & 1 nomination.,tt0107472
Won 2 Oscars. Another 33 wins & 29 nominations.,tt0110357
2 wins & 3 nominations.,tt0107426
1 win & 5 nominations.,tt0111686
Nominated for 1 Oscar. Another 6 wins & 19 nominations.,tt0110475
Nominated for 1 Oscar. Another 1 win & 1 nomination.,tt0110478
Nominated for 1 Golden Globe. Another 2 wins & 7 nominations.,tt0110588
3 wins.,tt0110622
N/A,tt0110771
1 win & 1 nomination.,tt0110950
3 nominations.,tt0105226
2 nominations.,tt0110989
N/A,tt0111054
Nominated for 2 Golden Globes. Another 2 nominations.,tt0110997
Won 2 Oscars. Another 16 wins & 19 nominations.,tt0111257
N/A,tt0111256
1 win & 4 nominations.,tt0111438
Nominated for 1 Oscar. Another 7 wins & 20 nominations.,tt0111503
4 nominations.,tt0111693
2 wins & 7 nominations.,tt0111742
Nominated for 1 Oscar. Another 3 wins & 5 nominations.,tt0111756
N/A,tt0112443
N/A,tt0110455
5 nominations.,tt0111048
1 nomination.,tt0110399
N/A,tt0112570
2 wins & 6 nominations.,tt0109454
N/A,tt0059170
1 nomination.,tt0110186
4 wins & 2 nominations.,tt0108069
2 nominations.,tt0111301
1 win & 1 nomination.,tt0112702
N/A,tt0112849
1 nomination.,tt0113014
N/A,tt0113043
1 win.,tt0113104
N/A,tt0113173
1 nomination.,tt0113319
N/A,tt0113827
N/A,tt0114047
5 wins & 14 nominations.,tt0112889
N/A,tt0109339
1 nomination.,tt0110027
3 wins & 1 nomination.,tt0109785
1 win & 3 nominations.,tt0113409
N/A,tt0109021
1 nomination.,tt0109035
Nominated for 1 Oscar. Another 3 wins & 15 nominations.,tt0106220
N/A,tt0111804
Won 1 Oscar. Another 14 wins & 32 nominations.,tt0106226
N/A,tt0109068
N/A,tt0109067
1 nomination.,tt0106292
N/A,tt0109198
1 win & 1 nomination.,tt0109219
N/A,tt0106379
1 win & 1 nomination.,tt0106400
3 nominations.,tt0109254
1 win & 1 nomination.,tt0109279
2 nominations.,tt0109297
2 nominations.,tt0109303
1 nomination.,tt0109305
Won 1 Oscar. Another 3 wins & 5 nominations.,tt0109306
2 nominations.,tt0106452
1 win & 2 nominations.,tt0106471
1 win & 3 nominations.,tt0106489
2 nominations.,tt0109361
N/A,tt0106505
Nominated for 2 Golden Globes. Another 1 win & 5 nominations.,tt0106519
2 nominations.,tt0109439
N/A,tt0109443
Nominated for 3 Oscars. Another 1 win & 9 nominations.,tt0106582
1 nomination.,tt0106598
Nominated for 1 Golden Globe. Another 2 wins & 10 nominations.,tt0109456
N/A,tt0109480
N/A,tt0109493
1 win & 1 nomination.,tt0106660
Nominated for 1 Oscar. Another 2 wins & 5 nominations.,tt0106673
4 nominations.,tt0106677
1 win & 6 nominations.,tt0106697
N/A,tt0109729
4 nominations.,tt0106834
N/A,tt0106873
Nominated for 2 Oscars. Another 18 wins & 7 nominations.,tt0106332
N/A,tt0109783
Nominated for 1 Oscar. Another 6 wins & 7 nominations.,tt0106881
1 nomination.,tt0106880
Nominated for 1 Golden Globe. Another 3 nominations.,tt0111732
1 nomination.,tt0106926
2 wins & 1 nomination.,tt0111712
N/A,tt0106941
Nominated for 2 Oscars. Another 3 wins & 5 nominations.,tt0106918
7 wins & 2 nominations.,tt0106965
4 wins & 4 nominations.,tt0109842
Won 1 Oscar. Another 11 wins & 33 nominations.,tt0106977
Nominated for 1 Oscar. Another 1 win & 1 nomination.,tt0107004
3 nominations.,tt0109890
2 nominations.,tt0109891
4 wins & 4 nominations.,tt0109913
N/A,tt0109920
N/A,tt0107057
1 win & 5 nominations.,tt0107076
Won 1 Golden Globe. Another 2 nominations.,tt0107096
1 win.,tt0107144
N/A,tt0113674
1 win & 1 nomination.,tt0112966
12 wins.,tt0107151
N/A,tt0110064
2 wins & 3 nominations.,tt0110074
1 win & 2 nominations.,tt0110097
N/A,tt0110123
Nominated for 3 Oscars. Another 2 wins & 13 nominations.,tt0107206
Nominated for 7 Oscars. Another 7 wins & 33 nominations.,tt0107207
N/A,tt0110137
Nominated for 2 Oscars. Another 3 wins & 13 nominations.,tt0108551
N/A,tt0110197
N/A,tt0107286
Won 3 Oscars. Another 32 wins & 25 nominations.,tt0107290
4 wins & 4 nominations.,tt0107302
2 wins & 1 nomination.,tt0110265
7 nominations.,tt0107322
1 win & 1 nomination.,tt0110305
1 win & 16 nominations.,tt0107362
2 wins & 2 nominations.,tt0107413
N/A,tt0110353
1 win.,tt0107468
1 win & 1 nomination.,tt0107478
2 wins.,tt0107497
3 nominations.,tt0107501
Nominated for 1 Golden Globe. Another 3 nominations.,tt0107507
2 wins & 4 nominations.,tt0107554
2 wins & 2 nominations.,tt0116253
4 wins.,tt0074102
3 wins & 2 nominations.,tt0111689
Nominated for 1 Golden Globe. Another 5 wins & 10 nominations.,tt0107616
N/A,tt0107611
N/A,tt0107613
Won 1 Oscar. Another 10 wins & 9 nominations.,tt0107614
8 wins & 7 nominations.,tt0107653
1 win.,tt0110657
1 win.,tt0110649
1 nomination.,tt0110678
4 wins & 9 nominations.,tt0110687
Nominated for 2 Oscars. Another 15 wins & 8 nominations.,tt0107756
N/A,tt0107808
Won 2 Oscars. Another 15 wins & 22 nominations.,tt0107818
Won 3 Oscars. Another 60 wins & 56 nominations.,tt0107822
Nominated for 1 Oscar. Another 4 wins & 4 nominations.,tt0107840
N/A,tt0107889
1 nomination.,tt0111003
N/A,tt0110939
1 win & 1 nomination.,tt0110955
Nominated for 8 Oscars. Another 16 wins & 31 nominations.,tt0107943
N/A,tt0110971
1 win & 1 nomination.,tt0107969
3 nominations.,tt0111001
3 nominations.,tt0107978
1 nomination.,tt0107977
2 nominations.,tt0107983
8 wins & 7 nominations.,tt0105275
3 wins & 7 nominations.,tt0108000
2 wins & 1 nomination.,tt0108002
1 win & 2 nominations.,tt0108026
7 wins & 4 nominations.,tt0105032
Won 7 Oscars. Another 82 wins & 49 nominations.,tt0108052
N/A,tt0111094
Nominated for 1 Oscar. Another 5 wins & 9 nominations.,tt0108065
1 win & 2 nominations.,tt0111102
Nominated for 1 BAFTA Film Award. Another 3 wins & 5 nominations.,tt0108071
1 nomination.,tt0111127
4 nominations.,tt0111143
Nominated for 2 Oscars. Another 7 wins & 11 nominations.,tt0108101
Nominated for 1 Oscar. Another 17 wins & 17 nominations.,tt0108122
2 nominations.,tt0111194
1 win & 3 nominations.,tt0111201
Nominated for 1 Oscar. Another 5 nominations.,tt0108149
Nominated for 2 Oscars. Another 4 wins & 17 nominations.,tt0108160
4 wins & 9 nominations.,tt0108162
Nominated for 2 Oscars. Another 11 wins & 16 nominations.,tt0083658
1 nomination.,tt0108186
N/A,tt0108174
N/A,tt0108238
2 wins & 3 nominations.,tt0089256
2 nominations.,tt0108255
1 nomination.,tt0111323
N/A,tt0111400
7 wins & 4 nominations.,tt0108328
N/A,tt0111418
Nominated for 1 Oscar. Another 7 wins & 12 nominations.,tt0107688
2 wins & 3 nominations.,tt0108333
2 nominations.,tt0108358
N/A,tt0111488
1 win & 10 nominations.,tt0108399
Nominated for 1 Oscar. Another 6 wins & 2 nominations.,tt0108515
5 nominations.,tt0110763
2 nominations.,tt0107779
2 nominations.,tt0109226
N/A,tt0110259
4 wins & 14 nominations.,tt0114906
2 wins & 10 nominations.,tt0107002
N/A,tt0109403
22 wins & 6 nominations.,tt0104029
1 win & 1 nomination.,tt0110623
5 wins & 9 nominations.,tt0107315
3 wins & 3 nominations.,tt0106408
2 nominations.,tt0110363
1 win & 4 nominations.,tt0107349
N/A,tt0111709
N/A,tt0109828
1 nomination.,tt0107225
3 wins & 5 nominations.,tt0111252
2 wins.,tt0110366
N/A,tt0106878
4 nominations.,tt0109120
6 wins & 12 nominations.,tt0108059
N/A,tt0110892
Nominated for 4 Primetime Emmys. Another 7 wins & 4 nominations.,tt0112651
2 wins & 2 nominations.,tt0107642
12 wins & 20 nominations.,tt0109382
7 wins & 6 nominations.,tt0106678
3 nominations.,tt0112572
Nominated for 2 Oscars. Another 10 wins & 4 nominations.,tt0099785
Won 2 Oscars. Another 16 wins & 23 nominations.,tt0099653
Won 2 Oscars. Another 30 wins & 22 nominations.,tt0103639
Won 4 Oscars. Another 27 wins & 27 nominations.,tt0103064
Won 7 Oscars. Another 43 wins & 37 nominations.,tt0099348
N/A,tt0114706
Won 1 Oscar. Another 8 wins & 26 nominations.,tt0096895
Won 5 Oscars. Another 54 wins & 44 nominations.,tt0102926
Nominated for 1 Oscar. Another 11 wins & 5 nominations.,tt0029583
Won 2 Oscars. Another 24 wins & 25 nominations.,tt0101414
Won 2 Oscars. Another 4 wins.,tt0032910
Nominated for 1 Oscar. Another 8 wins & 10 nominations.,tt0100405
4 nominations.,tt0110719
Nominated for 2 Oscars. Another 5 wins & 5 nominations.,tt0065214
2 nominations.,tt0110395
1 nomination.,tt0111752
Nominated for 1 Oscar. Another 1 win.,tt0109934
1 nomination.,tt0112606
Nominated for 1 Oscar. Another 4 wins & 5 nominations.,tt0117247
N/A,tt0112625
N/A,tt0106537
Won 2 Oscars. Another 79 wins & 59 nominations.,tt0116282
2 nominations.,tt0116552
4 wins & 2 nominations.,tt0082509
1 win & 1 nomination.,tt0116514
1 nomination.,tt0117283
1 win.,tt0116684
1 win & 1 nomination.,tt0110374
10 wins & 3 nominations.,tt0070506
3 wins & 1 nomination.,tt0065421
5 wins & 12 nominations.,tt0113083
5 nominations.,tt0118001
4 nominations.,tt0116165
3 wins & 2 nominations.,tt0102855
2 wins & 9 nominations.,tt0107471
N/A,tt0113839
N/A,tt0112712
4 wins & 1 nomination.,tt0090665
N/A,tt0117891
1 win & 1 nomination.,tt0113613
Nominated for 1 Oscar. Another 10 wins & 11 nominations.,tt0117381
2 wins & 9 nominations.,tt0114305
N/A,tt0115837
2 nominations.,tt0115509
8 wins & 4 nominations.,tt0114671
5 wins & 2 nominations.,tt0112844
2 wins & 1 nomination.,tt0114658
3 wins & 2 nominations.,tt0116275
N/A,tt0113122
N/A,tt0117608
N/A,tt0113448
1 nomination.,tt0116414
2 wins & 1 nomination.,tt0116095
N/A,tt0111543
N/A,tt0117517
N/A,tt0117312
N/A,tt0116485
Nominated for 1 BAFTA Film Award. Another 6 wins & 14 nominations.,tt0113947
9 wins & 7 nominations.,tt0115956
3 wins & 14 nominations.,tt0117060
