first_name,last_name,actor_id
Shari,Albert,a1567
 Maxine,Bahns,a5710
 Catharine,Bolz,a11001
 Connie,Britton,a12756
Lisa,Boyle,a11935
 Michael,Taliferro,a74867
 Emmanuel,Xuereb,a82094
 Tchéky,Karyo,a42070
Stephen,Lang,a46340
 Ryan,Slater,a71679
 Yi,Ding,a23371
 Wang,Fei,a27230
Leonardo,DiCaprio,a23059
 Lorraine,Bracco,a11985
 Marilyn,Sokol,a72170
 James,Madio,a50316
Alan,Rickman,a65617
 Hugh,Grant,a32515
 Georgina,Cates,a16270
 Alun,Armstrong,a4059
Isabelle,Huppert,a38273
 Martin,Donovan,a23886
 Elina,Löwensohn,a49922
 Damian,Young,a82582
Tom,Hanks,a34604
 Bill,Paxton,a61202
 Kevin,Bacon,a5502
 Gary,Sinise,a71453
Liam,Neeson,a57580
 Jessica,Lange,a46360
 John,Hurt,a38298
 Tim,Roth,a66997
Lili,Taylor,a75284
 Annabella,Sciorra,a69425
 Edie,Falco,a26802
Val,Kilmer,a43417
 Tommy Lee,Jones,a40759
 Jim,Carrey,a15719
 Nicole,Kidman,a43329
Catherine,Deneuve,a22628
 Jean,Sorel,a72389
 Michel,Piccoli,a62232
 Geneviève,Page,a60101
Patricia,Arquette,a4269
 U Aung,Ko,a44297
 Frances,McDormand,a52901
 Spalding,Gray,a32638
Lou,Reed,a64876
 Roseanne,Barr,a6907
 Mel,Gorham,a32146
John,Candy,a15135
 Alan,Alda,a1645
 Rhea,Perlman,a61667
Chauncey,Leopardi,a47705
 Spencer,Vrooman,a79008
 Malachi,Pearson,a61310
 Cathy,Moriarty,a55890
Harvey,Keitel,a42579
 John,Turturro,a77320
 Mekhi,Phifer,a62081
Laura,Linney,a48468
 Dylan,Walsh,a79395
 Ernie,Hudson,a37997
 Tim,Curry,a20889
Denzel,Washington,a79760
 Matt,Craven,a20283
Robert,Crumb,a20591
 Aline,Kominsky-Crumb,a44553
 Charles,Crumb,a20588
 Maxon,Crumb,a20589
Antonio,Banderas,a6334
 Salma,Hayek,a35577
 Joaquim de,Almeida,a2268
 Cheech,Marin,a51327
 Tom,Sizemore,a71535
 Jennifer,Beals,a7709
 Don,Cheadle,a17215
Bruce,Willis,a81113
 Jeremy,Irons,a38994
 Samuel L.,Jackson,a39404
 Graham,Greene,a32772
James,Duval,a24929
 Rose,McGowan,a53023
 Johnathon,Schaech,a68931
 Cress,Williams,a80928
Embeth,Davidtz,a21847
 Tom,Bell,a8240
 Gemma,Jones,a40672
 James,Purefoy,a63680
Sean,Connery,a19313
 Richard,Gere,a30797
 Ben,Cross,a20500
 Francis,Capra,a15284
 Mary Kate,Schellhardt,a69004
 August,Schellenberg,a68999
Jonny Lee,Miller,a54557
 Angelina,Jolie,a40606
 Jesse,Bradford,a12021
 Matthew,Lillard,a48226
Steven,Weber,a80036
 Peter,Jacobson,a39481
 Tom,Cayler,a16396
 David,Thornton,a75897
Keanu,Reeves,a64924
 Dina,Meyer,a54090
N/A,Ice-T,a38638
 Takeshi,Kitano,a43972
